"Cinsiyet, yaş grubu ve eğitim sağlayıcılarına göre yaygın eğitime katılım, 2007-2022","","","","","","","","","","",""
"Participation in non-formal education by sex, age group and education providers, 2007-2022","","","","","","","","","","",""
"","","","","","","","","","","","(%)"
"","Toplam
Total","İşveren
Employer","Yaygın
eğitim
kurumları
Non-formal
education
and training
institutions","Örgün
eğitim
kurumları
Formal
education
and training
institutions","Asıl faaliyeti
eğitim-öğretim
olmayan ve
ticari olmayan
kuruluşlar
Non commercial
institutions where
training is not
the main activity","Asıl faaliyeti
eğitim-öğretim
olmayan ticari
kuruluşlar
Commercial
institutions
where
training is not
the main activity","Bireyler
Individuals","Kar amacı 
gütmeyen 
kuruluşlar,
siyasi partiler,
kültürel dernek
ve kuruluşlar
Non-profit
associations,
cultural, political
associations","Ticaret
odaları,
işveren
dernekleri
Employers'
organisations,
chamber of
commerce","Sendikalar,
ticari
birlikler
Trade
unions","Diğer
Other"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"2022","","","","","","","","","","",""
"Toplam-Total","100.0","40.2","29.6","13.7","4.8","3.9","3.6","3.2","0.9","0.1","-"
"Cinsiyet-Sex","","","","","","","","","","",""
"     Erkek-Male","100.0","46.9","25.0","12.2","4.5","3.7","3.6","2.6","1.3","0.1","-"
"     Kadın-Female","100.0","31.2","35.7","15.6","5.1","4.1","3.6","4.2","0.4","0.1","-"
"Yaş grubu-Age group","","","","","","","","","","",""
"     18-24","100.0","26.2","38.1","14.2","6.4","1.4","8.3","5.2","0.2","0.1","-"
"     25-34","100.0","42.6","30.7","12.4","5.1","2.5","3.5","2.0","1.2","0.0","-"
"     35-54","100.0","44.5","24.6","14.9","4.0","5.6","2.2","3.1","0.9","0.1","-"
"     55-64","100.0","34.5","38.1","11.0","4.6","3.5","2.8","5.0","0.2","0.4","-"
"     65+","100.0","6.4","53.1","5.9","6.6","5.8","6.0","8.9","7.3","0.0","-"
"","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"Toplam-Total","100.0","39.4","26.6","11.9","6.6","4.5","3.7","3.8","1.9","0.1","1.5"
"Cinsiyet-Sex","","","","","","","","","","",""
"     Erkek-Male","100.0","46.8","23.0","9.9","6.8","4.0","2.7","3.0","2.5","0.2","0.9"
"     Kadın-Female","100.0","28.2","32.0","14.8","6.3","5.4","5.0","5.0","1.1","0.0","2.3"
"Yaş grubu-Age group","","","","","","","","","","",""
"     18-24","100.0","16.3","33.5","26.8","6.0","4.5","7.5","3.1","0.7","0.0","1.6"
"     25-34","100.0","48.2","24.7","10.2","5.2","3.8","2.3","3.1","1.1","0.1","1.2"
"     35-54","100.0","45.2","24.6","7.0","7.7","4.6","2.8","3.8","2.8","0.0","1.4"
"     55-64","100.0","21.7","28.6","6.4","10.8","6.4","5.9","12.0","3.6","1.5","2.9"
"     65+","100.0","0.8","41.1","12.7","0.8","23.4","1.2","9.3","8.3","0.0","2.4"
"","","","","","","","","","","",""
"2012","","","","","","","","","","",""
"Toplam-Total","100.0","25.8","45.6","10.2","3.4","4.4","3.7","4.1","2.2","0.5","-"
"Cinsiyet-Sex","","","","","","","","","","",""
"     Erkek-Male","100.0","34.3","38.5","9.0","4.2","4.5","3.0","3.0","3.0","0.6","-"
"     Kadın-Female","100.0","14.7","55.0","11.9","2.3","4.3","4.6","5.7","1.2","0.3","-"
"Yaş grubu-Age group","","","","","","","","","","",""
"     18-24","100.0","9.9","66.0","11.8","2.9","1.2","4.7","2.5","0.6","0.3","-"
"     25-34","100.0","33.8","38.4","11.2","3.8","3.8","3.5","2.8","2.3","0.4","-"
"     35-54","100.0","31.2","37.7","8.8","3.4","6.2","3.1","5.6","3.2","0.7","-"
"     55-64","100.0","8.6","56.6","5.2","2.3","11.9","4.3","8.2","2.9","0.0","-"
"     65+","100.0","3.3","42.9","4.6","3.9","10.1","4.4","24.2","4.8","1.7","-"
"","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"Toplam-Total","100.0","18.2","43.1","8.3","19.5","3.1","2.9","3.0","1.7","0.2","-"
"Cinsiyet-Sex","","","","","","","","","","",""
"     Erkek-Male","100.0","22.8","40.0","7.2","17.0","4.0","3.3","3.0","2.4","0.4","-"
"     Kadın-Female","100.0","10.9","47.8","10.0","23.5","1.7","2.4","3.0","0.6","0.1","-"
"Yaş grubu-Age group","","","","","","","","","","",""
"     18-24","100.0","7.6","67.8","10.1","8.0","1.6","2.4","2.1","0.4","0.0","-"
"     25-34","100.0","26.8","37.7","7.0","17.9","3.4","3.0","2.2","1.9","0.1","-"
"     35-54","100.0","21.3","26.6","8.1","29.4","4.2","3.1","4.1","2.5","0.7","-"
"     55-64","100.0","7.8","19.0","6.4","48.1","4.4","3.8","7.8","2.7","-","-"
"     65+","100.0","2.0","21.0","3.0","43.8","3.7","5.2","8.0","13.2","-","-"
"","","","","","","","","","","",""
"TÜİK, Yetişkin Eğitimi Araştırması, 2007-2022","","","","","","","","","","",""
"TurkStat, Adult Education Survey, 2007-2022","","","","","","","","","","",""
"- Bilgi yoktur.","","","","","","","","","","",""
"- Denotes magnitude null.","","","","","","","","","","",""
